title,neighborhood,address,city,state,zipcode,typeofhistoricresource,datebuilt/architect,earliestbuildingdate,datedestroyed,rennovationyears,OriginalArchitect,ArchitectInfo,Photo,Rights,0,col_id,location,longitude,lattitude,status,,,,,,,,,,
Johnson House,Northwest,6306 Germantown Ave.,Philadelphia,PA,19144,dwelling,1768,1768,0,0,,https://www.preservationalliance.com/images/aia/6306Germantown.jpg,Preservation Alliance for Greater Philadelphia,,042,dream042,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt,,,,,,,,,,
Sadie T. M. Alexander House,Northwest,700 Westview St.,Philadelphia,PA,19119,dwelling,,0,0,0,,https://www.preservationalliance.com/images/aia/700Westview.jpg,Preservation Alliance for Greater Philadelphia,,043,dream043,"Westview Street, Philadelphia, PA, USA",40.050941,-75.187245,doubt,,,,,,,,,,
Alain Leroy Locke House,South,2221 S. 5th St.,Philadelphia,PA,19148,dwelling,,0,0,0,,https://hiddencityphila.org/wp-content/uploads/2021/06/Alain-Locke-home-1.jpg,,,044,dream044,"South 5th Street, Philadelphia, PA, USA",39.947984,-75.149412,doubt,,,,,,,,,,
Christian Street YMCA,South,1724 Christian St.,Philadelphia,PA,19146,young men's Christian association,ca. 1914; rebuilt 1969,1914,0,1969,,https://www.preservationalliance.com/images/aia/1724ChristianSt.jpg,Preservation Alliance for Greater Philadelphia,,045,dream045,"1724 Christian Street, Philadelphia, PA, USA",39.940539,-75.17218,success,,,,,,,,,,
Institute for Colored Youth,South,915 Bainbridge St.,Philadelphia,PA,19147,school,ca. 1865-1866,1865,0,0,,https://www.preservationalliance.com/images/aia/915BainbridgeSt.jpg,Preservation Alliance for Greater Philadelphia,,046,dream046,"915-25 Bainbridge St, Philadelphia, PA, USA",39.942014,-75.15791,success,,,,,,,,,,
Marian Anderson House,South,762 S. Martin St.,Philadelphia,PA,19146,"dwelling, museum",,0,0,0,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/M_Anderson_House_Philly.jpg/500px-M_Anderson_House_Philly.jpg,,,047,dream047,"South Martin Street, Philadelphia, PA, USA",39.9424,-75.174771,doubt,,,,,,,,,,
Mercy Hospital - Site #1,South,17th and Fitzwater Sts.,Philadelphia,PA,19146,hospital,,0,0,0,,,,,048,dream048,"1910 Fitzwater Street, Philadelphia, PA, USA",39.942723,-75.174563,doubt,,,,,,,,,,
Crystal Bird Fauset House,West,5403 Vine St.,Philadelphia,PA,19139,dwelling,,0,0,0,,https://www.phila.gov/media/20170308121227/Crystal-Bird-Fauset1-550x360.jpg,,,049,dream049,"Vine Street, Philadelphia, PA, USA",39.955409,-75.139765,doubt,,,,,,,,,,
Freedom Now Rally (Dr. Martin Luther King Jr.),West,Lancaster and Haverford Aves.,Philadelphia,PA,19104,,,0,0,0,,,,,050,dream050,"3529 Haverford, Philadelphia, PA, USA",39.963926,-75.19431,doubt,,,,,,,,,,
MOVE site,West,6221 Osage Ave.,Philadelphia,PA,19143,,,0,0,0,,,,,051,dream051,"6221 Osage Ave, Philadelphia, PA, USA",39.955692,-75.24687,success,,,,,,,,,,
Shelter for Colored Orphans,West,44th and Haverford Ave.,Philadelphia,PA,19104,orphanage,,0,0,0,,,,,052,dream052,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,West,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,"dwelling, museum","ca. 1742-1751; many additions and alterations, including ca. 1888 and 1905",1742,0,1888;1905,,https://www.philasun.com/wp-content/uploads/2016/02/diaspora_02-28-16b.jpg,,,053,dream053,"Belmont Mansion Drive, Philadelphia, PA, USA",39.985323,-75.213071,doubt,,,,,,,,,,
Frederick Douglass Memorial Hospital,Center City,1512 or 1522 Lombard St.,Philadelphia,PA,19146,hospital,,0,0,0,,,,,054,dream054,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
